,date,Region,code,daily,cumulative
0,2020-10-22,Aberdeen City,S12000033,0,1912
1,2020-10-21,Aberdeen City,S12000033,5,1912
2,2020-10-20,Aberdeen City,S12000033,16,1907
3,2020-10-19,Aberdeen City,S12000033,16,1891
4,2020-10-18,Aberdeen City,S12000033,15,1875
5,2020-10-17,Aberdeen City,S12000033,13,1860
6,2020-10-16,Aberdeen City,S12000033,27,1847
7,2020-10-15,Aberdeen City,S12000033,25,1820
8,2020-10-14,Aberdeen City,S12000033,22,1795
9,2020-10-13,Aberdeen City,S12000033,24,1773
10,2020-10-12,Aberdeen City,S12000033,32,1749
11,2020-10-11,Aberdeen City,S12000033,23,1717
12,2020-10-10,Aberdeen City,S12000033,27,1694
13,2020-10-09,Aberdeen City,S12000033,38,1667
14,2020-10-08,Aberdeen City,S12000033,37,1629
15,2020-10-07,Aberdeen City,S12000033,50,1592
16,2020-10-06,Aberdeen City,S12000033,35,1542
17,2020-10-05,Aberdeen City,S12000033,35,1507
18,2020-10-04,Aberdeen City,S12000033,9,1472
19,2020-10-03,Aberdeen City,S12000033,15,1463
20,2020-10-02,Aberdeen City,S12000033,18,1448
21,2020-10-01,Aberdeen City,S12000033,9,1430
22,2020-09-30,Aberdeen City,S12000033,20,1421
23,2020-09-29,Aberdeen City,S12000033,17,1401
24,2020-09-28,Aberdeen City,S12000033,28,1384
25,2020-09-27,Aberdeen City,S12000033,26,1356
26,2020-09-26,Aberdeen City,S12000033,14,1330
27,2020-09-25,Aberdeen City,S12000033,21,1316
28,2020-09-24,Aberdeen City,S12000033,23,1295
29,2020-09-23,Aberdeen City,S12000033,6,1272
30,2020-09-22,Aberdeen City,S12000033,12,1266
31,2020-09-21,Aberdeen City,S12000033,11,1254
32,2020-09-20,Aberdeen City,S12000033,3,1243
33,2020-09-19,Aberdeen City,S12000033,6,1240
34,2020-09-18,Aberdeen City,S12000033,14,1234
35,2020-09-17,Aberdeen City,S12000033,9,1220
36,2020-09-16,Aberdeen City,S12000033,9,1211
